-akgaakgegang oscillating
ikatisa practise
ikatisa replicate
ikatiso replication
ikwadiso registration
ileketerone electron
ina immerse
inakemo designation
inamele enamel
ineela compromise
ineelo compromise
insulini insulin
interanete intranet
iphetsa self-sufficient
iphoraphoro-ithobalo masturbation
ipoeletsa recur
ipoeletso recurrence
ipusolosetsa retaliate
ipusolosetsa revenge
isele easel
itekanelo fitness
ithere ether
itlhatlhobo self-testing
itlhokomolosotuelo default
itlobola shed
itse aware
itsenyokotsing risk
itshepa confident
itshimololelo initiative
itshireletso self-insurance
itumetse happy
jala plant
jala sow
jalalela transplant
jalalelo transplant
jalelo implant
jarakhurumedi bell-jar
jarata yard
jeke jack
jempe jamb
jeraniamo geranium
kabinete cabinet
kabo appropriation
kabo award
kabo equity
kabo ratio
kaboditulo apportionment
kadimo loan
kaela guide
kafola plane
kagiso peace
kago construction
kagosetšhaba nation-building
kakanyo opinion
kakaretsego nonexcludability
kala branch
kalafitlhaeletsano telemedicine
kalafo therapy
kalafothibelo prophylaxis
kalana twig
kalogo graduation
kamano relationship
kamela camel
kamogodithata disenfranchise
kanala canal
kanamisotshwano globalisation
kanego statement
kanelo storytelling
kankere cancer
kapesokgong veneer
karabo answer
karabo result
karatšhe garage
karo surgery
karodi divisor
karoganyetsofelo zoning
karolo component
karolo constituent
karolo part
karolo portion
karolo section
karologape subdivision
karolopelo ventricle
karolothulaganyo mechanism
karolotogwasuleng infarct
karolotshwarwa hardware
karolwa dividend
karolwana particle
karolwana segment
karolwanakere pinion
karolwanatlhaka bit
katerole block
katerole lewis
katerole tackle
katisa practise
katisanetswa multiple
katisanyi exponent
katisetso exponential
katiso multiplication
katiso practice
katisosele meiosis
katiswa multiplicand
katlanegiso recommendation
katlego success
katlholelo sentence
kato compaction
katoloso expansion
katoloso extension
kediso propagation
keetane chain
keibole gable
kelamo broody
keledi tear
kelelo flow
keleloleswe effluent
kelelomadi bloodstream
keletsokgolo ambition
kelofatso rating
kelotefo tariff
kelotlase downwards
kelotlhoko observation
kemedi representation
kemelano resistance
kemisonakwana adjournment
kemofatso rank
keraentara grinder
kerafo graph
keraote grout
kere gear
kereke church
kerenke crank
kerese candle
kerili grille
kerisi grease
kerite grid
keteka celebrate
ketla segment
ketleetso subsidy
ketlogo chipping
ketlogolosi wane
kgabaganya across
kgabisa decorate
kgabo monkey
kgagamalo tension
kgagamatso surprise
kgakalo aggression
kgakantshi camouflage
kgakololo advice
kgamelo bucket
kganego repulsion
kganela ban
kganelo ban
kganelo resistance
kganetso opposition
kgantlapane newt
kgaoganeng separate
kgaogano division
kgaogantshometswako centrifugation
kgaoganyo demarcation
kgaogokelelo short-circuit
kgaogokgokagano offline
kgaolo area
kgaolo region
kgaolotlhopho constituency
kgaotso interval
kgapapeo capsule
kgapapeo seed-case
kgapetla ice
kgaratlho struggle
kgaso broadcast
kgatelelo pressure
kgatelelokedi hydraulic
kgatiso tracing
kgatisopaka periodical
kgatisotheo blueprint
kgatisotshwantsho video
kgatla sheath
kgatlhego interest
kgato foot
kgato stage
kgato step
kgeleswa gland
kgethegile unique
kgethiso taxation
kgethologo excludability
kgethololobong sexism
kgetla mussel
kgetla oyster
kgetsanamowa air-cushion
kgetse sack
kgobelelo prejudice
kgoboketsodinepe montage
kgoeletso proclamation
kgoeletso squeal
kgogedi attraction
kgogelomorago surrender
kgogo debit
kgogo withdrawal
kgogonoka moorhen
kgogoropo curve
kgokagano network
kgokgotso throat
kgolagano connection
kgolo big
kgolo growth
kgolo large
kgolokwe round
kgolokwe sphere
kgololosego liberation
kgomaretsa paste
kgomoseileketeroniki electroplating
kgonagalo probability
kgono skill
kgonothebolo bandwidth
kgonotuelo solvency
kgontsha enable
kgopa snail
kgopapilisi caplet
kgophalala bedridden
kgopisegile bitter
kgopolo concept
kgopolo memory
kgopolotaolomadi monetarism
kgopô siphonage
kgoreletsa disturb
kgoreletsa impede
kgoreletso obstruction
kgorwana scuttle
kgosi chief
kgothakgotha jerky
kgothakgothe indaba
kgotholela dumping
kgotlatheomolao legislature
kgotlela pollute
kgotlelegile polluted
kgotlelego pollution
kgotlhano friction
kgotlho brass
kgotlholo cough
kgotso heredity
kgotsofalo contentment
kgwabofatsa domesticate
kgwafotlhapi gill
kgwanyape tornado
kgwara etch
kgwebanosi monopoly
kgwebisano trade
kgwebo commerce
kgwebo trade
kgwebonolo liquidity
kgwedi month
kgweditharong trimester
kgwere bulb
kgwesa wean
kgwetlho challenge
khabarete cabaret
khabohaetereiti carbohydrate
khabono carbon
khadensa cadenza
khalamaene calamine
khalekisi calix
khalesiamo calcium
khalipa caliper
khaliphase callipers
khalori calorie
khaneišene carnation
khaphasitha capacitor
khaskhara cascara
khathak kathak
khathaloko catalogue
khatone carton
kheisene caisson
kheme cam
khemfa camphor
khemikhale chemical
khemikhaletlhole arsenic
khemisi vent
khemo breathing
khemo respiration
khemolodi wheezing
khemotherapi chemotherapy
khena can
khenyula cannula
kheretšhe crèche
khethosisi ketosis
khetone ketone
khirikete cricket
khobalete cobalt
khobele corbel
khobole cobble
khokhonate coconut
khoko cork
kholaje collage
kholera cholera
kholeseterole cholesterol
kholetšhe college
kholobete culvert
kholoni colony
khomišene commission
khomphiutara computer
khomphiutha computer
khonisi cornice
khoramo quorum
khoroumu chrome
khothete quartet
khouta quota
khoutu code
khudu tortoise
khuduthamaga executive
khumo wealth
khutlisapelegi sterilisation
khutlo point
khutlonne quadrangle
khutlonnetsepa rectangle
khutlontsi polygon
khutlorobedi octagon
khutlorobongwe nonagon
khutlotharo triangle
khutlotharotlhakorenne tetrahedron
khutlothataro hexagon
khutlotlhano pentagon
khutsana orphan
khutshwafatsa abbreviate
khutshwafatso abbreviation
khutshwane short
khutshwane stumpy
khwinini quinine
kibobonako tachycardia
kidibalo syncope
kiki gig
kiletso embargo
kilo kilo-
kima thick
kinane myth
kitlano density
koafalo recession
koafalotshouto immunosuppression
kobamelo compliance
kobelo mulch
kobo blanket
kobota peck
kodutlase baritone
koketsego extra
koketsegotlhotlhwapotlako hyperinflation
koketso positive
kokoano assembly
kokotela hammer
kokotelela nailing
kolobetsa wet
kolomo column
komiso dehydration
komiti committee
komitipotlana subcommittee
komotiso precipitation
kompaganyo agglomeration
kompone compound
konalo wear
konkereite concrete
konkereitetswakwa aggregate
kopana converge
kopanya unite
kopanyo combination
kopatshwarelo apologise
kopelo vocals
kopisa copy
kopiso copy
koporasi corporation
kopotlhogo headache
korola aim
korong wheat
korousari groceries
korwe hornbill
kotama perch
kotla nutrient
kotlannye micronutrient
kotlhao punishment
kotlo nutrition
kotsi accident
kotsi dangerous
kotsi harmful
kuane coping
kubo pulse
kubopelo palpitations
kuku cake
kukumuru camber
kuma ghoema
kungo product
kungwelo benefit
kuno brand
kutlwanelo consensus
kutlwelobotlhoko compassion
kutlwelobotlhoko empathy
kutlwelobotlhoko sympathy
kwadi keyboard
kwala write
kwamisa temper
kwasakwasa kwassa-kwassa
kwashioko kwashiorkor
kwatirilione quadrillion
kwatlalalo rigidity
kwelotlase decline
kwena alligator
kwena crocodile
kwintilione quintillion
laboratori laboratory
labotlhano Friday
laeborari library
laola officiate
laola regulate
laolela channel
lapile tired
lathese lattice
latlha dump
lebadi numerator
lebalelo batten
lebanta belt
lebelo speed
lebete spleen
lebolai fang
lebopo beach
lebota wall
lebotakganalo weir
ledi currency
ledimosekaka sandstorm
lee egg
lee ovum
leelefatsa lengthen
leenyana ovule
leeto journey
leeto trip
lefapha department
lefapha ministry
lefapha portfolio
lefatshe earth
lefatshe land
lefaufau atmosphere
lefele cockroach
lefelo venue
lefelotiro workplace
lefetlho propeller
lefifi dark
lefofaleta plumule
lefulo foam
legae home
legaekhutsana orphanage
legakwa crystal
legapa exoskeleton
legare blade
legare razor
legodu thief
legogo crust
legora fence
legwafa armpit
lehihiri cartilage
lehubaasebesetose asbestosis
lehuto knot
lehututu hoopoe
leinatlaopo nickname
leino tooth
leinotlhagare molar
leinotlhagarepele premolar
leithekese latex
leitlho eye
leka examine
lekalekana even
lekalekanang symmetrical
lekalekanya level
lekana equal
lekane enough
lekanya balance
lekanya measure
lekanyegang measurable
lekanyetsa approximate
lekanyetsa budget
lekanyetsa estimate
lekanyetsa measure
lekeletsa test
lekgetho duty
lekgetho tax
lekgethotirelothoto excise
lekgetlotshameko cap
lekgoba addict
lekhubu frequency
lekhubu tide
lekhubu wave
lekhubutona breaker
lekhujwana ripple
lekola evaluate
lekukunya bud
lekukunya plumule
lekwaretlelane loquat
lekwati bark
lekwati sapwood
lela crow
lelapa household
lelatlha coal
leledu beard
leleke cantilever
lema cultivate
lema plough
lemepe honeycomb
lemoga recognise
lenaane table
lenaanekhomphiutara menu
lenaanenetefatso checklist
lenaanetiriswa application
lenaanetlhopho menu
lenaka hand
lenanekatiso table
lenanemmino repertoire
lenaneo programme
lenaneo table
lenanerekoto discography
lenathi incisor
lenathwana piece
lenga fissure
lengapo abrasion
lengapo excoriation
lengau tiger
lenong vulture
lenono petiole
lenono stalk
lentle mantle
lenya ore
lenyalo marriage
lenyatso disobedient
leoto leg
leotwana wheel
leotwanatlhofo pulley
leparego constraint
lepatata hornpipe
lepelela droop
lephataikonomikgolo macroeconomics
lephatakgwebonnye microeconomics
lephutshe pumpkin
lepodisi policeman
lepogo cheetah
lepolanka plank
lerabele rebel
leradu cow
lerang beam
lerapatshipi needle
leriba pier
leribelantle outrigger
lerobanko nostril
leroborobo pestilence
leroborobo plague
leroo paw
lerophi herpes
lerothodi drop
leru cloud
leruarua whale
leruri permanent
lesaka kraal
lesakana pen
lesela textile
lesitlwane thistle
lesokolela heartburn
lesome ten
leswana teaspoon
letagwa alcoholic
letamo dam
lethetho linear
letlalo covering
letlalo hide
letlalo leather
letlalo pelt
letlalo skin
letlapapapetla flagstone
letlapaseobo voussoir
letlapi husk
letlapi peel
letlase bottom
letlha date
letlhabaphefothulelong dormer
letlhaka cane
letlhakore face
letlhakore leg
letlhakore side
letlhare leaf
letlharethunya bract
letlhatshana leaflet
letlhogela axis
letlhogela seedling
letlhomeso framework
letlhomeso skeleton
letlhotlho mace
letlotla salvage
letlotlo account
letlotlo deposit
letlotlo fortune
letobo translucent
letonkomane peanut
letsa slap
letsapa fatigue
letsapalegolo burnout
letsatsi day
letsatsi sun
letsatsitsalo birthday
letseno income
letseno revenue
letseta cotton
letsetse flea
letsha lake
letshegapati buck
letshegopota buttress
letshetledi padstone
letshogo terror
letshogolegolo trauma
letsholo expedition
letsholoipapatso campaign
letsholokgweeletso roadshow
letshololo diarrhoea
letshwao label
letshwao mark
letshwao sign
letshwaokgwebo trademark
letshwaokuno branding
letshwaomolaleng collar
letshwaomoôno logo
letshwaraganyi keystone
letsogo sleeve
letsogwana lever
letsomane flock
letsopa porcelain
leungo fruit
lewatle ocean
lewatle sea
leyakgatiso manuscript
litimase litmus
llaga layer
llentlele lintel
lliki league
lloto lead
loapi sky
lobone lamp
lobota wall
lobotatlase wainscot
lofetlho windmill
lofofa feather
lofofa plume
lofufa jealousy
lofuka wing
loga knit
loga weave
logabo alcove
logadima lightning
logaga cave
logata skull
logong wood
logongpopota hardwood
logongtlhatlhagano plywood
lokganedi abutment
lokganelamolelo firewall
lokgaoganyi partition
lokomeletsa drywall
lokwalopaka journal
lolea empty
lolea vacuum
loleme tongue
lomao needle
lonaka horn
lonala claw
lonala nail
loreto lobe
lorole dust
loruo livestock
losi margin
losi rim
losika kinship
losikaloontšwa canine
loso death
lotha membrane
lotlatlana evening
lotlhaka reed
lotlhaka straw
lotlhakana straw
lotseno fiscal
lotseno income
lotso kingdom
lotso race
lotso species
maabane yesterday
maalo course
maano resourceful
maatla force
maatla power
maatlaboloto voltage
maatlafatso empowerment
maatlakgatelelo weight
maatlataolo curatorship
maatlatikoloso torque
maatlatwantsho resistance
madi blood
maditsididi cold-blooded
maduo score
maekerone micron
maekrofouno microphone
maemo circumstance
maemo condition
maemo conditions
maemo position
maemo rank
maemo situation
mafaratlhatlha infrastructure
mafura fat
magareng mild
magogorwane amateur
magweregwere residue
mahokani mahogany
maikarabelo responsibility
maikarabelosemolao liability
maikutlo emotion
maikutlo feeling
maitemogelo experience
maitirelo artificial
maitirelo man-made
maitirelo synthetic
maitirelwa synthetics
maitlhomo objective
maitshegetso balustrade
majerine margarine
makasine magazine
makenesiamo magnesium
makenetemotlakase electromagnet
makenetetlhakopitse U-magnet
makgaolakgang final
makgolo hundreds
makgonatsotlhe potash
makopanelo intersection
makopanelo terminal
makopanelofaratlhatlha net
malamahibidu dysentery
malatlha charcoal
maleba applicable
maleka draw
maleya intricate
mametlelelo addendum
mametlelelo schedule
mariga winter
marinini gums
masakana brackets
masalela remains
masimo plantation
maswe impurity
matanyola sodomy
mathe saliva
matlafatso empowerment
matlakadibe thunderstorm
matlakala rubbish
matlakala waste
matlakalasaledi debris
matlhale intelligence
matlhatsa vomit
matlhotlhapelo disaster
matlo housing
matsapa effort
matseno preamble
matsetseleko spectacular
matshediso condolences
matshego stand
matshego tripod
matshegothapamo trimmer
matute juice
mašwi milk
megare bacteria
mekgwa values
memulo umemulo
menisekase meniscus
meno teeth
menora menorah
methanolo methanol
metronomi metronome
metsi water
metšhini machinery
milione million
minerale mineral
mmadi enumerator
mmala colour
mmalatlotlo accountant
mmalwa few
mmalwa several
mmaraka market
mmasepala municipal
mme mother
mmekhuri mercury
mmele trunk
mmelegi babysitter
mmelegisi midwife
mmepe map
mmepetlhaloganyo mindmap
mmetale metal
mmetli carpenter
mmetli sculptor
mmetshe mathematics
mmino music
mminorekere bubble-gum
mmoelela rebound
mmofine morphine
mmogedi spectator
mmoulo mule
mmu soil
mmueledi lawyer
mmugodimo topsoil
mmutele humus
mmutla rabbit
mmutlwa thorn
moagi builder
moagi citizen
moagi resident
moagisani neighbour
moakanyetsi designer
moakanyetso design
moalafi therapist
moamogelamegopolo liberal
moanelwa character
moano motto
moatlhodi judge
modi root
modiko perimeter
modikologo circuit
modikologo revolution
modikologo rotation
modimo god
modingwana fetish
modiradifilimi filmmaker
modiragatsi performer
modiragatsigadi actress
modirakagiso peacekeeper
modiratshupanako clockmaker
modirelakepe sailor
modirelwa client
modirimmatlisisi fieldworker
modirisi consumer
modirisi end-user
modirisi practitioner
modisa shepherd
moditona taproot
modula pollen
modumedi believer
modumo sound
moela current
moelamadi bloodstream
moemedi delegate
moemedi representative
moemelammueledi attorney-in-fact
moemo posture
moenjenere engineer
moento vaccine
moeteledipele leader
moetleetsagoso crowdfunder
moetlo rite
moferometsing waterweed
mofofisi pilot
mofu wasp
mofufutso perspiration
mofuta variety
mofutadijo meal
mofutanjo diet
mogala flex
mogala rope
mogalafatshe landline
mogalarekere elastic
moganadiphetogo conservative
mogapi liquidator
mogare bacterium
mogare germ
mogare virus
mogatla tail
mogatse spouse
mogodu gut
mogodu stomach
mogoeletsi caller
mogokaganyi coordinator
mogokanyi middleman
mogokgo principal
mogolo adult
mogolo salary
mogoma plough
mogopo bowl
mogopolo memory
mogoposeruelatlhapi fishbowl
mogotetsatsi insolation
mogwamiso curing
mogwang blade
mogwanto march
mogwebi entrepreneur
mogwebisi broker
mohubunawa hilum
moikaego fulcrum
moikuedi appellant
moila taboo
moithaopi volunteer
moithutadimela botanist
moithutafaufau astronomer
moithuti student
moitseanape professional
moitumedisi entertainer
moja right
mojamorogo vegetarian
mojanala tourist
mojeng clockwise
mojulu module
mokaedikakaretso director-general
mokapisi juggler
mokatakogodimo balcony
mokerenke crank
mokgatlho organisation
mokgwa attitude
mokgwa criterion
mokgwa mode
mokgwa technique
mokgwantshokgwele punt
mokgwari etcher
mokgwaro match
mokgwatsamaiso procedure
mokgwatshelo lifestyle
mokgweetsi driver
mokoko cock
mokoko rooster
mokolonyane blackjack
mokoloti debtor
mokomonisi communist
mokone cocoon
mokone nymph
mokone puparium
mokoro boat
mokoro canoe
mokoro gutter
mokoro valley
mokoto coccyx
mokwaladipina songwriter
mokwalopalo notation
mola line
mola row
molaeborari librarian
molagare axis
molagare diameter
molakaroganyo bisector
molakgaoganyo cross-section
molakgomi tangent
molao act
molao law
molao statute
molaokemiso moratorium
molaolamela queue-walker
molaotheo constitution
molaotlhomo bill
molasa molasses
molatlhanonoko stave
molatlhegelwa runner-up
molato guilt
molawana ordinance
molawana rule
molekane partner
molekhule molecule
molelo fire
molemotagi tincture
moletlo festival
moletlwana mini-festival
moletsadiletswa instrumentalist
moletsafolutu flautist
moletsakatara guitarist
moletsakataraporo bassist
moletsakwadi keyboardist
moletsamoropa drummer
moletsapiano pianist
moletsaselo cellist
moletsatlelarinete clarinettist
molodi melody
mologi weaver
molomo mouth
molwelaphetogo radical
momagano tessellation
momaganya fuse
momaganya weld
momaganyo welding
monala talon
monamune citrus
monana adolescent
monang mosquito
monawa legume
monetefaletsatuelo guarantor
mongobo den
mongokwabongsele heterosexual
mongokwabongtshwanang lesbian
mongpholisi policyholder
monoma monomer
monontsha fertiliser
