- bodumedi	religious
Aforikaborwa	South Africa / SA
Aforikafatso	Africanisation
Alemanaka ya Gregory	Gregorian calendar
Bankafatshe	World Bank
Bankatlhabololo ya Borwa ba Aforika / DBSA	Development Bank of Southern Africa / DBSA
Boitshwarelo jwa Boditšhaba / Mokgatlhotshwarelo Boditšhaba	Amnesty International
Bokeresete	Christianity
Bothati jwa Botšhotšhisi jwa Bosetšhaba / NPA	National Prosecuting Authority / NPA
CAF / Mokgatlho wa Kgwele ya Dinao wa Aforika	CAF / African Football Confederation
CD	CD / compact disc
COSAFA / Mokgatlho wa Kgwele ya Dinao wa Borwa jwa Aforika	Confederation of Southern African Football Associations / COSAFA
Chaena	China
DNAlotswakwa	recombinant DNA / rDNA
DVD / papetlagotlhe	DVD / digital versatile disc
Dikhoutokharikhulmobosetšhaba	National Curriculum Codes
Diphalane	October
Ditirelotshoganyetso tsa bana	Child Emergency Services
Ditšhabakopano / UN	United Nations
EISA	Electoral Institute for Sustainable Democracy in Africa
EISA / SDTDA / Setheo sa Ditlhopho sa Tsweletso ya Demokerasi mo Aforika / Setheo sa Ditlhopho sa Tsweletso ya Temokerasi mo Aforika	Electoral Institute for Sustainable Democracy in Africa
FIFA / Mokgatlho wa Boditšhaba wa Kgwele ya Dinao / MBKD	Fédération Internationale de Football Association / Federation of International Football Associations / FIFA
FPTP / mofenyi	first past the post / FPTP
Ferikgong / Morula	January
GDP / palogotlhe ya dikungoselegae	gross domestic product / GDP
GNU / Pusotshwaraganelo ya bosetšhaba / pusobosetšhaba ya motlhakanelwa	Government of National Unity / GNU
HAART / kalafikgolo ya thibeloketegelo	HAART / highly active antiretroviral therapy
IEC / Khomišene e e Ikemetseng ya Ditlhopho	Independent Electoral Commission / IEC
Inthanete	Internet
Jeremane	Germany
Kgatiso ya Mmuso / Kasete ya Puso	Government Gazette
Kgotlakhuduthamaga	Executive Council
Kgotlatshekelokgolo ya Molaotheo	Constitutional Court
Kgotlatshekelokgolo ya Molaotheo	Constitutional Court / RSA
Khansele ya Boenjenere ya Aforikaborwa	Engineering Council of South Africa / Acronym: ECSA
Khansele ya Botsweretshi ya Bosetšhaba / Khansele ya Botaki ya Bosetšhaba	National Arts Council
Khansele ya Dimusiamo tsa Aforika	Council of African Museums
Khomišene ka ga Pusetso ya Ditshwanelo tsa Mafatshe	Commission on Restitution of Land Rights
Khomišene ka ga Tekatekanyobong / CGE	Commission on Gender Equality / CGE
Khomišene ya Bašwa ya bosetšhaba	National Youth Commission
Khomišene ya Ditirelo tsa Bosiamisi / Khomišene ya Ditirelo tsa Boatlhodi	Judicial Service Commission
Khomišene ya Ditshwanelo tsa Botho	Human Rights Commission
Khomišene ya Thuanyo, Tsereganyo le Katlholelo / CCMA	Commission for Conciliation, Mediation and Arbitration / CCMA
Khomišene ya Tsweletso le Tshireletso ya tsa Semorafe, Setso, Bodumedi le Dipuo	Commission for the Promotion and Protection of the Rights of Cultural, Religious and Linguistic Communities
Khuduthamagakgabaganyo / Khuduthamagaphetogo	Transitional Executive Council / TEC
Kokoanopeomolao	Constitutional Assembly / CA
Komiti Bosetšhaba ya Kagiso	National Peace Committee
Komiti ka ga Dikgatako tsa Ditshwanelo tsa Botho	Committee on Human Rights Violations
Komiti ya NCOP / Komiti ya Lekgotla la Bosetšhaba la Porofense	National Council of Provinces Committee / NCOP Committee
Komiti ya Ntlo Yotlhe	Committee of the Whole House
Koran	Koran / Qur'an
Kôkô / kalafo	nursing care
LAP / segopalwetse sa setlhabimpentlase	lower abdominal pain syndrome / LAP
Labobedi	Tuesday
Labone	Thursday
Laboraro	Wednesday
Labotlhano wa Paseka / Labotlhano wa Paseka	Good Friday
Lamatlhatso / Sateretaga	Saturday
Lee la Paseka	Easter egg
Lefapha la Bodiredipuso le Botsamaisi	Department of Public Service and Administration
Lefapha la Bodiri	Department of Labour
Lefapha la Bonetetshi le Thekenoloji	Department of Science and Technology
Lefapha la Bosiamisi le Tlhabololo ya Molaotheo	Department of Justice and Constitutional Development
Lefapha la Botsweretshi le Setso	Department of Arts and Culture
Lefapha la Dimenerale le Maatla	Department of Minerals and Energy
Lefapha la Dipalangwa	Department of Transport
Lefapha la Diporofense le Pusoselegae	Department of Provincial and Local Government
Lefapha la Ditirelo tsa Kgopololo	Department of Correctional Services
Lefapha la Ditiro tsa Setšhaba	Department of Public Works
Lefapha la Ditiro tsa Setšhaba / Dikgwebo tsa Setšhaba	Department of Public Enterprises
Lefapha la Kgwebisano le Madirelo	Department of Trade and Industry
Lefapha la Matlotlo	Department of Finance
Lefapha la Merero ya Boditšhaba	Department of Foreign Affairs
Lefapha la Merero ya Mafatshe	Department of Land Affairs
Lefapha la Merero ya Metsi le Dikgwa	Department of Water Affairs and Forestry
Lefapha la Merero ya Selegae	Department of Home Affairs
Lefapha la Merero ya Tikologo le Bojanala	Department of Environmental Affairs and Tourism
Lefapha la Metshameko le Boitapoloso	Department of Sport and Recreation
Lefapha la Pabalesego le Tshireletso	Department of Safety and Security
Lefapha la Pholo	Department of Health
Lefapha la Temothuo	Department of Agriculture
Lefapha la Thuto	Department of Education
Lefapha la Tlamelo ya Matlo	Department of Housing
Lefapha la Tlhabololo ya Loago	Department of Social Development
Lefapha la Tlhaeletsano	Department of Communications
Lefapha la Tshireletso	Department of Defence
Lekgotla la Bosetšhaba la Diporofense	National Council of Provinces / NCOP
Lekgotla la Bosetšhaba la Diporofense / Kgotla ya Bosetšhaba ya Diporofense	National Council of Provinces / NCOP
Lekgotla la Ditona / MINMEC	MINMEC
Lekgotlaselegae la Kgabaganyo / Lekgotlaselegae la Phetogo	Transitional Local Council / TLC
Lenaane Bosetšhaba la Ditiro tsa Setšhaba	National Public Works Programme
Lenaane la Tsweletsopele le Kagosešwa / LTK / RDP	Reconstruction and Development Programme / RDP
Letloleinšorensetlhokatiro	Unemployment Insurance Fund / UIF
Letsatsi la Badiri	Worker's Day
Letsatsi la Basadi	Women's Day
Letsatsi la Bašwa	Youth Day
Letsatsi la Bopelonamagadi / Letsatsi la Bopelontle	Day of Goodwill
Letsatsi la Ditshwanelo tsa Botho	Human Rights Day
Letsatsi la Keresemose	Christmas Day
Letsatsi la Kgololosego	Freedom Day
Letsatsi la Ngwaga o Mošwa	New Year's Day
Letsatsi la Ngwaoboswa	Heritage Day
Letsatsi la Poelano	Day of Reconciliation
Letsatsi la ba Lelapa	Family Day
Letsholo la Ikgatholosomolao	Defiance Campaign
Lizzy	busy Lizzie
Lliki ya ditshimega tsa Aforika / Lliki ya Bommampodi ba Aforika	African Champions League
Llikikgolo ya Kgwele ya Dinao	Premier Soccer League
Lokwalotlamo lwa Ditshwanelo tsa Bana	Charter of Children's Rights / Children's Charter
Lwetse	September
MDR-TB / thiibi ya tshitamelemontsi	multiple-drug-resistant tuberculosis / MDR-TB / multi-drug resistant TB
MEC / Mokhuduthamaga	Member of the Executive Council / MEC
MP / Mopalamente / Tokololo ya Palamente	Member of Parliament / MP
Maswati	emaSwati
Matebele	amaNdebele
Mathosa	amaXhosa
Matsonka	Vatsonga
Mavenda	Vhavenḓa
Metshameko ya di Olimpiki	Olympic Games / Olympics
Mmusakgotla / Sepikara	Speaker
Mmusakgotla wa kokoanobosetšhaba / Sepika sa kokoanobosetšhaba	Speaker of Parliament
Moaforika	African
Moatlhodimogolo	Chief Justice
Moeteledipele wa Lekokokganetso la Semmuso	Leader of the Official Opposition
Moeteledipele wa Ntlo	Leader of the House
Mohindu	Hindu
Mokeresete	Christian
Mokgatlho wa Inšorense wa Aforikaborwa	South African Insurance Association
Mokgatlho wa Musiamo wa Aforikaborwa	South African Museums Association
Mokgatlhotwantshotagi	Alcoholics Anonymous / AA
Mokgibo / Free Kiba	Free Kiba
Mokhuduthamaga / MEC	Member of the Executive Council / MEC
Molao wa Ditlhopho	Electoral Act
Molao wa Khomišhene ya Ditlhopho	Electoral Commission Act
Molaolakolotosetšhaba	National Credit Act / NCA
Molaolakolotosetšhaba	National Credit Regulator / NCR
Molaotlhomo wa Ditlhopho	Electoral Bill
Molawana wa Maitsholo ka nako ya Ditlhopho	Electoral Code of Conduct
Moletlo wa Botsweretshi wa Bosetšhaba / Moletlo wa Botaki wa Bosetšhaba	National Arts Festival
Momoseleme	Muslim
Mopalamente wa Porofense / MPL / Tokololo ya Palamente ya Porofense	Member of Provincial Legislature / MPL / Member of the Provincial Parliament / MPP
Mopitlwe	March
Moranang	April
Morunikakaretso	Auditor-General
Mosupologo	Monday
Motlatsammusakgotla / Motlatsasepikara	Deputy Speaker
Motlhankedi wa Ditlhopho tsa Bommasepala / MDBMEO	Municipal Electoral Officer / MEO
Motshameko wa Boditšhaba wa Bašwa	Youth International Match
Motsheganong	May
Mozulu	Zulu
NA / Kokoano Bosetšhaba / Kokoanotheomolao ya Bosetšhaba	National Assembly / NA
NA / Kokoanotheomolao ya Bosetšhaba	National Assembly / NA
Naga e e Tlhabologileng	First World country
Ngwanatsele	November
Nomorothuso ya bana	Childline
Ntwa	Struggle
PEP / kalafothibelo ya morago ga kgonagalotshwaetso	post-exposure prophylaxis / PEP
PVC / tlelorini ya pholobine	polyvinyl chloride / PVC
PanSALB / Lekgotla la Dipuodintsi la Aforika Borwa	Pan South African Language Board / PanSALB
Paseka	Easter
Phaposi ya Palamente	Chamber of Parliament
Phathaphatha	Phata-Phata
Phatwe	August
Phukwi	July
Pusokopanelo	Government of National Unity / GNU
R&B / moribo le mmino / M&M	R&B / rhythm and blues
Ramolaokakaretso	Attorney-General
Rapalamente	Secretary to Parliament
Rejisetara Bosetšhaba ya Dithoto tsa Puso	National Register of State Assets
SAFA / Mokgatlho wa Kgwele ya Dinao wa Aforikaborwa / MOKGWEDIA	SAFA / South African Football Association
SAFPU / Mokgatlho wa BatshamekaKgwele ba Porofešhenale ba Aforikaborwa / MBPA	SAFPU / South African Football Players Union
SAHRC / Khomišene ya Ditshwanelo tsa Botho ya Aforika Borwa	South African Human Rights Commission / SAHRC
SALGA / Mokgatlo wa Dipusoselegae wa Aforika Borwa	South African Local Government Association / SALGA
Sabata	Sabbath
Sedimonthole	December
Seetebosigo	June
Sefapaano	the Cross
Sehindu	Hinduism
Sejana sa Dinaga tsa Aforika / Sekgele sa Dinaga tsa Aforika	African Cup of Nations
Sejatlhapi / Seesimane / Sekgowa	eng
Sekgele sa FIFA sa Motshameko o o phepa / Sejana sa FIFA sa Motshameko o o phepa	FIFA fair play trophy
Sekgele sa Lefatshe sa FIFA / Sejana sa Lefatshe sa FIFA	FIFA world cup
Senkuni	Nguni
Sepika sa kgotlatheomolao ya Bosetšhaba / Mmusakgotla wa Kgotlatheomolao ya Bosetšhaba	Speaker of the National Assembly
Sesole sa Aforikaborwa	South African Army
Setheo sa Dividio le Difilimi sa Bosetšhaba / Setheo sa Dibidio le Difilimi tsa Bosetšhaba	National Film and Video Foundation / NFVF
Setheo sa Lekgotlatoropokgolo la Kgabaganyo	Transitional Metropolitan Substructure / TMS
Silothekese	Celotex
TB ya dirwe tse dingwe tsa mmele	extrapulmonary tuberculosis / extrapulmonary TB
TMC / Lekgotlatoropokgolo la Kgabaganyo	Transitional Metropolitan Council / TMC
TRC / Khomišene ya Boammaruri le Poelano	Truth and Reconciliation Commission / TRC
Taoism / boTao	Taoism
Thora	Torah
Thulaganyo Tekatekano ya metso ya Boditšhaba	SI
Tlhakole	February
Tlolaganyo	Pesach / Passover
Tumelano Bosetšhaba ya Kagiso	National Peace Accord
Yuropa	Europe
aba madi	donate blood
aba melemo	dispense
abela / neela	donate
abelana	share
abelana dikakanyo	brainstorm
adima	loan
aebi	ivy
aga	build
aga sentlhaga / nna sentlhaga	nest
akanyetsa	design
akanyetsa / naganela	consider
akerileiti	acrylate
akgaakga	oscillate
akhaontekitsisotsenyomadi	notice deposit account / notice deposit
akhaontelato / akhaontekoloto	credit account
akhaontepeeletsotlamilweng / tshupatlotlo / akhaontepeeletsotlhomamo / tshupatlotlopeeletsotlamilweng	fixed-deposit account
akhaontepolokomadi / akhaontetsenyomadi	deposit account
akhaontetsigameng	dormant account
akhaontetšheke	current account
akone	argon
alafa / fodisa	cure
alebaterose	albatross
alebumini	albumin
alefabete	alphabet
alekale	alkali
alemanaka ya Hegira	Hegira calendar
alemanaka ya Julius	Julian calendar
aletara	altar
aletsa	line
aloga	graduate
altho	alto
aluminiamo	aluminium / Al
amanang	relative
amanang / nyalanang / tsamaelanang	related
amegile	affected
aminoesiti	amino acid
amoga nakwana / gapa nakwana / thopa nakwana	sequestrate
amoganya	insulate
amogela	earn
amogela	receive
amogelesega	acceptable
amonia	ammonia
amoniamo naetereiti	ammonium nitrate
amoniamo tleloraete	ammonium chloride
amusa / anyisa	breastfeed / nurse
anaanya	barter
anaanya	exchange
anamisa	diversify
anayone	anion
anoute	anode
antihistamaene	antihistamine
anyisa / amusa	suckle
apola / fotlha / obola	strip
apole	apple
apolekosi	apricot
areka	ark
aroganya	apportion
arola	divide / give the quotient of
arola / aroganya	divide
arola ka bogare / aroganya ka bogare	halve
arolega	divisible
arologanya / kgaoganya / fatsa	split
arologanya / rulaganya	classify
ase	axis
ase e e tsepameng	vertical axis
asebesetose / asb	asbestos / asb
aseine	ethanoic acid / acetic acid
aseine / binika	vinegar
asethoune	acetone
asiti ya sebabole	sulphuric acid
asiti ya tlelorine	hydrochloric acid / HCl
atametsa / garela	round off
aterese	address
atheropoto	arthropod
athiki	attic
athomo	atom
atisa	multiply
atisa / ga -	times
atla / suna	kiss
atlhola	judge
atologa / gogomoga	expand
atolosa	expand
atolosa / oketsa	extend
ayodini	iodine
ayone	ion
ayone	iron / Fe
ayotine e e tlhaphotsweng / ayotine e e timotsweng	diluted iodine
baagi	civil society
baagi	community
baagi	population
baagi ba ba tlhokomologilweng	disadvantaged community
baagimotsesetoropo	urban community
baakhoutu	bar code
baatlhodi	panel
baatlhodi / juri	jury
badiragatsimmogo	ensemble
badiri	human resources
badiri	labour force
baduelwa / bagodiswa / lenaanebaduelwa / lenaanebagodiswa	payroll
baganetsi / baemakgatlhanong	dissident
bagologolo	ancient people
baitsholedi le batlhoki	haves and have-nots
baje	barge
bajerika	budgerigar
bakapoere	baking powder
bakgatlhegedi	interest group
bakirioto	griot caste
bala	count
bala	numerate / enumerate
balela	calculate
balela	perform a calculation
balela / bala	calculate
balela ka tlhogo	calculate mentally
balemirui	farming community
balosika	extended family
baloto e e ntshitsweng	tendered ballot / tendered vote
baloto tota motlhophiwa / pampiritlhopho tota motlhophiwa	candidate-centered ballot
baloto ya go tlhopha mokgatlho	party-centered ballot
balotokganetsano	disputed ballot
baluni / sebudulwa	balloon
bampa / tšhesta	flutter
baniši	varnish
banka ya baemedi / banka ya baemela / banka ya bathibaphatlha / banka ya baemisetsi	substitutes' bench / reserves' bench / bench
bankabogare	central bank
bankakgwebisano	merchant bank
bankakgwebo / polokelokgwebo	commercial bank
bantatshipi	strap
banyatsegi	underdogs
baola	bowl
bapileng	neighbour
bapileng	parallel
bapisa	compare
baratanitshwanonologo	discordant couple
bareki	market
barekitotwa / badirisitotwa	target market
basireletsabosimega / basireletsasejana / basireletsasekgele	defending champions
bata ya dinonyane / letlotsana	birdbath
batlhankedi ba Ntlo	table officers
batlhokatiro / bomatlhalela	unemployed
batlhophi	electorate
batlhophi botlhe	voting population
batlisisa / tlhotlhomisa	investigate
batshegetsimoopedi	backing vocals
batshela ka lebolelamading / batsho ba ba tshelang ka HIV	people living with HIV
batshelakaphate / batsho ba ba tshelang ka Aids	people living with Aids
batshelakaphate le ka lebolelamading / batho ba ba tshelang ka HIV le Aids	people living with HIV and Aids / PLWHA
batsweretshi / bataki	art community
bayopsi	biopsy
bebentsha	mime
bedisa / bela	boil
beela	lay
beela thoko	waive
beeletsa / tsadisa	invest
beeletsa gape	reinvest
bega / kala / lekanya	weigh
beikilaete	bakelite
beisi	base
bekere	beaker
bekere ya galase	glass beaker
belefo / monatlana / motsokwana	valve
belega / tsala	give birth
bemekhulaete	vermiculite
bena	banner
bensine	benzine
beola / poma	shave
berebere	latch
besa / baka	bake
bese	bus
beteleletsa / thubegetsa / kabelela	rape
beterii / lelatlha / legala	battery
beterii ya koloi / beterii yasejanaga / beterii yasefatanaga / beterii ya kara	car battery
betla	sculpt
betwa / nwela	drown
bideo theipi / theipi ya setshwantshikgatisi	video tape / video cassette
bilete	billet
bilione	billion
birolato / birokoloto	credit bureau
bitakarotini	beta carotene
bithamine	vitamin
bithamine ya C / eseti ya asekhobiki	ascorbic acid / vitamin C
biyurete	burette
boagi	citizenship
boaka / bootswa / bofafalele / bofebe	promiscuity
boaka / bootswa / bofebe	high-risk behaviour
boakanyetsi	design process
boakerobate / botsarogi	acrobatic
boaletso	blinding
boalo	area
boalo	face
boalo	floor
boalo	surface
boalo jwa logong / bodilo jwa logong / foluru ya logong	wooden floor
boalo jwa taolabongola / demokhose	damp-proof course / Abbreviation: DPC
boalobanta	string course
boalofatshe / sefatlafatshe	earth’s surface
boalogodimo	upper level
boalogong	wooden base
boalogong / papetlagong	plywood
boalotlase	base course
boalotlase	bottom layer
boamaditshedi	bioactivity / biological activity
bobaba	hostile
bobedi	twos
bobeelo / polokelo	storage
bobeelobotlolo	bottle bank
bobegakgang ba eleketeroniki	electronic medium
bobesetso / onto	oven
boboa	fur
boboa	wool
boboa / mariri	hairy
boboko	brain
bobopelo / karolobong bobopelo	saddle
bobowa	coat
bobudutswana	grey blue
bobusaesi	Fascism
bodidi / lehuma	poverty
bodilobanta	strip flooring
bodiredipuso / tirelosetšhaba	public service
bodirelo / faboreki	factory
bodirelo / indaseteri	industry
bodirelo / intaseteri	industry
bodirelo jwa bobetli / bodirelotirodiatla	craft industry
bodirelo jwa boitumedisi	entertainment industry
bodirelo jwa difilimi	film industry
bodirelo jwa mmino	music industry
bodirelo-oli	oil refinery
bodirelobogolo	primary industry
bodirelobonnye	secondary industry / secondary sector
bodirelodiaparo	clothing factory
bodirelogolo	tertiary industry / tertiary sector
bodirelomoepo	mining industry
bodirelopotlana	light manufacturing industry / light industry
bodirelotheo	primary industry / primary sector
bodirelotlaleletso	secondary industry / secondary sector
bodiritlhokasope / borobisi	migrant labour
boduelelo / thili	point-of-sale terminal / POS terminal
bodumedi	religion
bodutelaleswe	septic tank
bodutelo	reservoir
bodutelo	storage tank
bodutu / lapisa / bosula	lacklustre
boejenere jwa ditukisi	petroleum engineering
boeletsa	repeat
boemakepetlholego	natural anchorage
boemedi ka tekanyetso	proportional representation / PR / list system
boemo	class
boemopono	parallax
boenjenere	engineering
boenjenere jwa boradi	design engineering
boenjenere jwa boralodikago	architectural engineering
boenjenere jwa difofane	aerospace engineering
boenjenere jwa dikago	civil engineering
boenjenere jwa dikago / boenjenereboago	construction engineering
boenjenere jwa dikhomphiutha	computer engineering
boenjenere jwa dipopegokago	structural engineering
boenjenere jwa dirori	transportation engineering
boenjenere jwa dithoromo	earthquake engineering / seismic engineering
boenjenere jwa ditlhamaganyane	control engineering
boenjenere jwa ditoropo	urban engineering
boenjenere jwa haederoliki	hydraulic engineering
boenjenere jwa ileketeroniki	electronics engineering / electronic engineering
boenjenere jwa kgeleloleswe	sanitary engineering
boenjenere jwa khemikhale	chemical engineering
boenjenere jwa lobopo	coastal engineering
boenjenere jwa madirelo	industrial engineering
boenjenere jwa meepo	mining engineering
boenjenere jwa metšhini	mechanical engineering
boenjenere jwa mmu	geotechnical engineering
boenjenere jwa nano	nano-engineering
boenjenere jwa temothuo	agricultural engineering
boenjenere jwa tikologo	environmental engineering
boenjenere jwa tirisego	applied engineering
boenjenere jwa tlhagiso	manufacturing engineering
boenjere jwa kgeleloleswe	waste-water engineering
boeteledipelenna	patriarchal leadership
boetsisi	impersonation
bofelo	last / final
bofisika	physical
bofofu	blindness
bofokelaphefo	downwind
bogabedi / terasi	bisexual
bogalaka / monkobogale	pungent
bogare	centre
bogarekgogedi	centre of gravity
bogato	pad
bogato / bogatorepodi	tread
bogatsu	analgesia
bogega / kgatlhisa	attractive
bogobe	porridge
bogodimo	level
bogodimo jwa metsi	water level
bogodimokgato	riser
