-ahlola judge
falkhramo fulcrum
fantisi auction
fapana differ
fase bottom
fase down
fatafata scratch
fekse fax
feletše complete
ferule ferrule
fesetibale festival
feteditšwe infected
fetetša infect
fetetša transmit
fetilego previous
fetiša transmit
fetoga react
fetola convert
fetoša amend
fetoša modify
fetša complete
fetša finish
fišapoto fascia
flaminko flamingo
flekse flex
flouru flour
fofa fly
fokotša decrease
folaewili flywheel
folaga flag
folentšhe flange
fomulari formulary
foramo forum
foreimitšhipi steelwork
foroko fork
foromophilara sonotube
fosfeite phosphate
fosferase phosphorus
fošagetše incorrect
freskho fresco
frukthouse fructose
fufulelwa perspire
fula graze
furu hay
gabedi twice
galase glass
gana reject
ganana repel
ganana resistance
gape again
gare middle
gataka violate
gatee once
gatelela exert
gobunya wade
godimo high
godimo top
godimo up
godiša magnify
goeletša proclaim
goga pull
goga suction
gogela attract
gohlola cough
gokara cuddle
golo large
golofetsego handicapped
goteditšwego live
haephothalamase hypothalamus
haetrentšea hydrangea
hektolitara hectolitre
hemago respiratory
hephise herpes
histamaene histamine
histori history
hlabela inject
hlahloba examine
hlahloba screen
hlakanya plus
hlakiša audit
hlakoretekano equilateral
hlama design
hlano five
hlaola nominate
hlapigauta goldfish
hlasela attack
hlatse witness
hlatša regurgitate
hlohlorega shed
hlohloregago deciduous
hlola create
hlopha classify
hlware python
hlwekilego pure
hlwekiša purify
hlwekiša refine
hokwana coop
homoune hormone
hotele hotel
huduga stir
ikilela abstain
ikoketša replicate
ikonomi economy
inifoleišene inflation
insuline insulin
inthanete Internet
inthranete intranet
ithere ether
kabagano consociation
kabaganyo apportionment
kabelo share
kabinete cabinet
kabo ratio
kabo share
kabo supply
kabohlare dispense
kadimo loan
kagišo conciliation
kakanyo estimation
kakanyo imagination
kakanyo submission
kakaretšo summary
kalafi therapy
kalafi treatment
kalafo treatment
kalamelo broody
kalatša recruit
kale gull
kalo tabling
kaloswika flagstone
kamela camel
kampa camp
kanale canal
kankere cancer
kankerine gangrene
kaoto gout
kapa rafter
kapaserwalaboima trimmer
karabo answer
karikana cart
kariki carriage
karogano division
karoganyoditsha zoning
karolo element
karolo portion
karolo role
karolo section
karolokgetho constituency
karolowana component
katišo multiplication
katlego success
katološo expansion
keko betrayal
kelatšhila effluent
kelatšhila sewerage
kelelomadi bloodstream
keletšo advice
keletšo recommendation
kelo measurement
kemanoši non-partisan
kemedi representation
kemelo representation
kepole gable
keraoto grout
kere gear
kereke church
keteka celebrate
kgabo flame
kgahlego interest
kgahliša freeze
kgakanego frustration
kganano repulsion
kganano veto
kganetšo opposition
kgano rejection
kgaogantšhotswako centrifugation
kgapa ram
kgare wreath
kgatako violation
kgatelelo pressure
kgatelelodiela hydraulic
kgatišobaka periodical
kgatišothalwa blueprint
kgatla sheath
kgato foot
kgato stage
kgato step
kgašo broadcast
kgetha choose
kgetha elect
kgetho choice
kgetholla discriminate
kgethollo discrimination
kgethologanyo discrimination
kgethontši cumulation
kgetla oyster
kgetlogo chipping
kgobalo injury
kgobalohlolwakebotšididi frostbite
kgobela heap
kgobogo abrasion
kgoboketša collect
kgodišosekhwama fundraising
kgoeletšo proclamation
kgogo chicken
kgogo fowl
kgohlano friction
kgohlo sanding
kgokagano communication
kgokagano interactive
kgokaganyi linkage
kgokanyi link
kgoketšo attraction
kgokolo sphere
kgolo big
kgolo development
kgolo growth
kgomarelago sticky
kgomarelano agglutination
kgonagalo possibility
kgonego probability
kgonthišišo verification
kgonthišo affirmation
kgontšha enable
kgopa snail
kgopamego skew
kgopelo request
kgopišegilego aggrieved
kgopolo memory
kgoro department
kgoro kraal
kgotlelela tolerate
kgotlelelo tolerance
kgotsofala contentment
kgoši chief
kgwakgwafatšo rustication
kgwašontšu hoarseness
kgwebišano partnership
kgwebo commerce
kgwebo enterprise
kgwebo trade
kgweboneelano barter
kgwedi month
kgweditharong trimester
kgwele pelvis
kgwerano coalition
khabetšhe cabbage
khabone carbon
khalamaene calamine
khalekse calix
khalipara callipers
khalipha caliper
khalkhuleitha calculator
khalkhuleišene calculation
khalori calorie
khalsiamo calcium
khamphase compass
khaneišene carnation
khantshele council
khanyula cannula
khaphasitha capacitor
khapohaetreite carbohydrate
khapolete caplet
khatboto cardboard
khathaloko catalogue
khathara gutter
khathetha catheter
kheipini cabin
kheisene caisson
kheitše cage
khekhe cake
kheme cam
khemfa camphor
khemikhale chemical
khemikhalegarehlare intermediate
khena can
khene can
khereini crane
kheretšhe crèche
khethosisi ketosis
khethoune ketone
khii key
khiiboto keyboard
khiipoto keyboard
khiphara keeper
khirikhete cricket
khirikhete firecracker
khokhonate coconut
khokhune cocoon
kholara collar
kholebete culvert
kholera cholera
kholeseterole cholesterol
kholetše college
kholomo column
khomišene commission
khomphutha computer
khonisi cornice
khonkhoriti concrete
khopele corbel
khothete quartet
khoune cone
khouta quota
khoute code
khoutu code
khreine crane
khristale crystal
khudu tortoise
khuetšo influence
khukhune puparium
khukhuša bloom
khulara cooler
khunkhwane insect
khupetša insulate
khupetšontho dressing
khutlo angle
khutlo dot
khutlo point
khutlonne quadrangle
khutlonnethwii rectangle
khutlonnethwii rectangular
khutlotharo triangle
khutsofatša abbreviate
khutsofatšo abbreviation
khutšo peace
khuša process
khwaterilione quadrillion
khwašiokho kwashiorkor
khwinine quinine
khwinthilione quintillion
kibopelobjako tachycardia
kidibalo syncope
kiki gig
kiletšo ban
kiletšo embargo
kimelo mass
kirili grille
koba arch
koba cross
kobamelo compliance
kobotšhireletšakago batt
kodu larynx
kokomoga swell
kokona gnaw
kokotela hammer
kokwana micro-organism
kokwane strut
koma initiation
komelelo drought
komiti committee
konopi button
kopana short
kopano union
kopantšha unite
kopanyo combination
koporase corporation
korila gorilla
korone crown
korong wheat
korosari groceries
kotallaga plywood
kotama land
kotasethekgabolao sleeper
kotlo punishment
kotlo sentence
koto thick
kotse shield
kotsi accident
koša song
krafaete graphite
krafo graph
kriti grid
kuranta newspaper
kutollo disclosure
kutu stem
kuwauwetšo canvass
kwana correspond
kwano compromise
kwelobohloko empathy
kwena crocodile
kwenkweletša crow
kwešiša grasp
kwešiša understand
kwešišego comprehension
laekhene lichen
laminaete laminate
lamineitha laminate
laola regulate
lapa household
laporatori laboratory
latela succeed
latelago next
lathekese latex
latišiša trace
leabela heredity
leano strategy
learogi exception
lebaka cause
lebake dagga
lebana opposite
lebato floor
lebelo pace
lebelo speed
lebelo velocity
lebete spleen
leboa north
leboabohlabela north-east
lebone lamp
leboo cycle
lebopo shore
leboto wall
lebotothibamollo firewall
lebototlasetlasekgabišwa wainscot
ledimo gale
ledimo sandstorm
ledimo storm
lee egg
leeba dove
leeba pigeon
leemo posture
leeto journey
leeto trip
lefahla twin
lefase earth
lefase land
lefasefatšo globalisation
lefaseterepulelothoko casement
lefaufau atmosphere
lefela pay
lefelo venue
lefofa feather
lefofa plume
lefoko sentence
lefufu plumule
legadima lightning
leganata desert
legapi scale
legare razor
legata skull
lego fig
legogo mat
legola veld
legolo den
legong wood
legora fence
legoro class
legotlo mouse
legotlo rat
lehlaka straw
lehlakanoka cane
lehlakanoka reed
lehlakore face
lehlakore side
lehlakore wing
lehlakoreteleletena stretcher
lehlasedi beam
lehlasedi ray
lehloyo hatred
lehodu thief
lehu death
lehuto knot
lehwafa armpit
lehwana spoon
leihlo eye
leino tooth
leinothipa incisor
leka test
lekalasekatšoba bract
lekalekanya balance
lekana equal
lekana even
lekane enough
lekanetša plane
lekanetšego symmetrical
lekedi wattle
lekgoba slave
lekgotla assembly
lekgotlapeamelao legislature
lekgotlatheramelao legislature
lekgwara aggregate
lekgwarakgabišo stucco
lekola check
lekopelwana earpiece
lela gut
leleme tongue
lema cultivate
lema plough
lemoga recognise
lemoša signal
lenaba foe
lenaka horn
lenakana hand
lenakanatšhupi dial
lenala nail
lenaneo programme
lenaneo table
lenaneokalafo protocol
lenaneokgoparara infrastructure
lenaneommino repertoire
lenaneotefišo invoice
lenaneotekodišo checklist
lenaneotirišo application
lenono stalk
lenthele lintel
lenyalo marriage
leobu chameleon
leoto leg
lepanta belt
lephego wing
lepheko constraint
lephekwana hurdle
lephoto tide
lephoto wave
lephotogolo breaker
lephotomoya waveband
lephotwana ripple
lepogo leopard
lepthopo laptop
lerabele rebel
leratha salvage
lerethe lobe
lerethepeu lobe
leriba embankment
lerole dust
leru cloud
leruo fortune
lesagabola moorhen
lesolo campaign
lesolo expedition
lesolo mission
lesome ten
leswafohlapi gill
leswao mark
leswao sign
leswikana pebble
leswikatheo keystone
leswiswi dark
letagwa alcoholic
letamo dam
letangwana weir
lethisi lettuce
letlakalabjang blade
letlalo leather
letlalo skin
letlalwana membrane
letlalwanasese film
letsetse flea
letsha lake
letsogwanapheko boom
letswai salt
letšaba burrow
letšatši day
letšatši sun
letšhogo terror
letšhogophetelelo hysteria
leuba epidemic
leuba plague
lewa cave
lewatle ocean
lewatle sea
lešaba crowd
lešakana pen
lešela cloth
lešela fabric
lešelanakhupetšantho gauze
lešoba opening
lešobaphihlelelo scuttle
lešoko compassion
libara lever
linkithase linctus
lithmase litmus
lliki league
loga knit
loga weave
lokaritimi logarithm
lokhwate loquat
lokolla release
loritsogwana boom
luba louvre
maabane yesterday
maano plan
maanomabe plot
maatla force
maatlakgogedi attraction
mabosabosana snack
madi blood
maekherofoune microphone
maekhroskoupo microscope
maekrone micron
maemo circumstance
maemo condition
maemo conditions
maemo designation
maemo position
maemo rank
maemo situation
mafetlhefetlhe overweight
mafofa plumage
mafofonyane hallucination
mafutašana down
magahlanong intersection
magareng between
mahlatša vomit
mahokani mahogany
maikarabelo responsibility
maikutlo emotion
maikutlo feeling
maikutlo reaction
maitshwaro attitude
makgaolakgang final
makgolo hundreds
makhukhuša blossom
makhura fat
maknesiamo magnesium
maknete magnet
maknethaite magnetite
makomane marionette
makwala tessellation
malahla coal
malalatle sleepover
maledu whisker
maleka draw
malokwane referee
mantšiboa evening
manyami sorrow
maose mouse
maphodisa police
marara puzzle
mare saliva
marega winter
marinini gums
masetlapelo disaster
masetlapelo tragedy
masitiki mastic
maswikanagala gallstone
matengwa toss
mathata hardship
mathomong beginning
mathudi foyer
mathudi veranda
matlafatšo empowerment
matlotlo finance
matutu juice
matšarine margarine
mauwe mumps
mašakana brackets
mašaledi remains
mašaledi surplus
medula medulla
meetse water
megabaru greedy
mehleng dispensation
mehutahuta variety
meila mule
mekhanisime mechanism
mela germinate
melisima melisma
menerale mineral
mengwaga age
meniskhase meniscus
meno teeth
menora menorah
meseniri masonry
mesong morning
methanole methanol
metheronomi metronome
methiore meteor
methopo resource
metša swallow
metšhene machinery
meyara mayor
mezzosoprano mezzo-soprano
milione million
minimi minim
mmabole marble
mmadi enumerator
mmagojeng clockwise
mmala colour
mmalafatšo pigmentation
mmalwa several
mmaraka market
mmegaditaba journalist
mmele body
mmelegiši midwife
mmenyu menu
mmetli sculptor
mmetse mathematics
mmetsefase groundwater
mmino dance
mmino music
mmogedi spectator
mmontšhi exhibitionist
mmotho motor
mmoto hill
mmoto moth
mmušo government
moabelwathoto assignee
moabi supplier
moadimišipotlana microlender
moagi builder
moagišane neighbour
moago building
moahlodi judge
moakhiolotši archaeologist
moalafi therapist
moamegi stakeholder
moamogeladiphetogo progressive
moanegwa character
moano motto
moatlelete athlete
mobugodimo topsoil
modikelela curve
modingwana god
modiradifilimi filmmaker
modiradišupanako clockmaker
modiragatši administrator
modiragatši performer
modiragatši practitioner
modirakhutšo peacekeeper
modirametlae comedian
modirišani partner
modiši shepherd
modu root
modudi citizen
modudi resident
modumedi believer
modumo sound
moeditlhaka valley
moela current
moeletšidikgethong pollster
moemedi representative
moeno totem
moentšeneare engineer
moentšenere engineer
moetapele leader
moeti tourist
moeti traveller
mofini morphine
mogale hero
moganadiphetogo conservative
moganetšapušo dissident
mogarogo rash
mogau favour
mogodu stomach
mogoeletši caller
mogogolwa deposit
mogogonope rooster
mogola tract
mogolo adult
mogolo throat
mogwanto march
mogwebi entrepreneur
mohlagare jaw
mohlagase electricity
mohlagašana premolar
mohlahlana cabin
mohlahlikeletši counsellor
mohlaka wetland
mohlakodi mugger
mohlala example
mohlala trail
mohlape flock
mohlare tree
mohlohlono pruritus
mohlokomedi guardian
mohlwamalaong bedridden
mohlwekiši cleaner
mohutatšie grasshopper
moipelaetši appellant
moithaopi volunteer
moithuti student
moitlami indemnitor
moišatšhupatefelo bearer
mojalefa beneficiary
mokatiši jockey
mokgabišopolanka veneer
mokgabiṧo decoration
mokgatlo organisation
mokgatlokganetšo opposition
mokgwapušo dispensation
mokgwatho touch
mokgwatshepetšo propagation
mokhantshelara councillor
mokobe spur
mokokotlo vertebrate
mokoloti debtor
mokomonisi communist
mokopanyi coordinator
mokukaditšhipi weightlifter
molala neck
molalatladi rainbow
molao act
molao law
molao rule
molao statute
molaodipharephare director-general
molaokakanywa bill
molaolamoraladi queue-walker
molaotheo constitution
molapomogolo burnout
molasese molasses
molaske mollusc
molato guilt
molawana ordinance
molebeledi observer
molefaufau astronaut
molekhule molecule
molelokofela back-bencher
moletephihlelelo manhole
moletšafuluti flautist
mollišwa indemnitee
mollo fire
molodi melody
mologi weaver
moloko kinship
molokoloko series
molomo mouth
molongwana spout
molwelaphetogo radical
molwetši patient
momagano agglomeration
monamedi passenger
monang mosquito
moneelo donation
monepanaledi astronomer
mongpholisi policyholder
monolofatši facilitator
monomara monomer
monosakharaete monosaccharide
monthetše montage
monwana finger
monwanaleoto toe
monyetla opportunity
mooki nurse
mooko measles
moopediši conductor
moopelo vocals
mootledi driver
mootlwa thorn
mophelakgahla-nonglebongbjagagwe transsexual
mopolitiki politician
moporesitente president
moporofeta prophet
morafe race
morafe tribe
moragaphenale penalty-taker
morago back
moratho pier
moreki customer
moremadikota woodcutter
morephaditho paraplegic
morithi shade
morithi shadow
morodi lead
morodi solder
morogo vegetable
moromedi sender
moropa drum
morotholotšana moisture
morulelohlatlagano course
morumokwano rhyme
morutiši educator
morwalamaikarabelo surety
mosago sawing
mosagong sawmill
mosarasarane shower
mosegasegane honeysuckle
mosehlwa segment
mosekamo gradient
moseke mosque
mosela tail
mosenyi violator
mosepelakadinao pedestrian
mosepelo locomotion
mosepelo motion
mosepelo movement
moseterooperi strawberry
moseto chase
moseto strip
mosetokopantšhi rebate
moswaswi clown
motaki etcher
mothabiši entertainer
mothalogare axis
mothalokgoma tangent
mothapa stripe
mothekgi supporter
motheo foundation
motheo frame
mothifi motif
mothomothong man-to-man
mothopo source
mothotsoko stranger
mototompetši juggler
motsila coccyx
motsoko tobacco
motsotswana moment
motsotswana second
motswadi parent
motswako mixture
motutuetši luminary
motšhelo tax
motšhene machine
motšheneseripabjang lawnmower
motšwabotšwelo spaceman
motšwamahlalagading adolescent
motšwana radicle
motšwantle alien
motšwantle foreigner
motšwasehlabelo victim
motšweletši producer
mouta mould
mouwauwetši canvasser
mowethi moiety
moya air
moya spirit
moyafala evaporate
moyafalago volatile
moyafalo evaporation
moyammetela draught
mošidi soot
mošidolli physiotherapist
mošifa ligament
mošilafatši litterbug
mošišinyi mover
mošomo career
mošomo employment
mošomo job
mošomo occupation
mošomong workplace
mošwana acacia
mpa abdomen
mphato grade
mphego rail
mpheng shaft
mphiwafela grant
mpholo toxin
mphologarepaketheria endotoxin
mpholomethapo neurotoxin
mpholontlepaketheriya exotoxin
mpholopšio nephrotoxin
mpholosele cytotoxin
mpogošong anticlockwise
mpšatshadi bitch
mpšhafatša renew
mpšhe ostrich
muši smoke
naelone nylon
naethrotšene nitrogen
nafothalini naphthalene
naga country
naga land
naga state
nagalegae bantustan
nako time
nakotekanyetšo duration
naledi star
nalete needle
naletšana asterisk
nama flesh
nama meat
namelela ascend
namune orange
nanothekenolotši nanotechnology
nawa bean
nebiraphini nevirapine
nepagala exact
nepagalo accuracy
netepolo netball
netweke network
ngaka doctor
ngangego tension
ngangišano argument
ngangišano debate
ngata bundle
ngwaga year
ngwagakgolo century
ngwagasome decade
ngwala write
ngwalolla rewrite
ngwana young
ngwanenyana girl
ngwathaganyo subdivision
ngwedi moon
nikhele nickel
nikothini nicotine
nimfi nymph
nkgetheng candidate
nkgokolo ring
nkgokolo round
nkgwete maestro
nkhese faulting
nko nose
nku sheep
nkwe tiger
nne four
nnete true
nnyane less
nnyane small
noga snake
noka river
nolofatša simplify
nomoro number
nonnego fertile
nontšha fertilise
nontšho fertilisation
nonwane legend
nonyanasejadipeu seed-eater
nose bee
notokotana mallet
ntho cut
ntho lesion
ntho wound
ntlha tip
ntlha vertex
ntotomamaitirelo berm
ntwa fight
ntwa war
ntšha deduct
ntšha minus
ntšha subtract
ntšhi fly
ntšhi housefly
ntšhi many
ntšhopopelo hysterectomy
ntšhotšhilammeleng excretion
nwelela sink
nyakišišo enquiry
nyakišišo investigate
nyakišišo investigation
nyokaganego spiral-shaped
nyumonia pneumonia
nyumoniya pneumonia
nyutherale neutral
nyutleleolase nucleolus
ofisi office
ofolaene offline
oka nurse
okene organ
oketšago additional
okisaete oxide
okisideišene oxidation
oksitšene oxygen
onto kiln
othokrafo autograph
otla penalize
pabalelo conservation
pabalelo welfare
padi novel
paktheriamo bacterium
palamente parliament
palelano deadlock
palelo batten
palelo calculation
palelo failure
palelo lath
palepo bulb
palindromo palindrome
palo number
palo reading
palogare aggregate
palogare average
palokatišanetšwa multiple
palokatiši multiplier
palokatišwa multiplicand
palomatlafatši exponent
palomatlafatšwa exponential
palomoka gross
palontšhwa subtrahend
palophapano differential
palophatlo fraction
palophatlotatelano commutative
palophokotšwa minuend
palotekantšhi tally
palune balloon
panana banana
paniyone bunion
panka bank
papadikekišo mime
papatšo marketing
papišo comparison
papolo crucifixion
paralelokramo parallelogram
parithone baritone
pasari scholarship
paseketepolo basketball
pataganya tessellate
pataganyo tessellation
patšerikari budgerigar
pedi two
pedifatša doubling
peeletšo investment
peeletšoleswa reinvestment
pefelo anger
pego report
peisepolo baseball
pekwa hawk
pele front
pelego childbirth
pelego reproduction
pelo heart
pelohlomogi sensitive
pelwana axis
pelwana core
penara banner
pente paint
peolwane swallow
peomagareng neutralisation
pere horse
perekisi peach
peretona stallion
peretshadi mare
pese bus
petse borehole
peu seed
pešana foal
phaele pile
phaene pine
phaephe pipe
phaephekelelatšhila sewer
phaephekelelo siphonage
phaephesehemiši vent
phaeretine pyridine
phagamiša elevation
phala impala
phamfolete pamphlet
phanele panel
phanetšwego panelled
phankhirisi pancreas
phapano difference
phaphamala float
phaphathi blade
phapošibohlapelo bathroom
pharalakse parallax
pharelo constipation
pharola split
phaseta pasta
phasetele pastel
phatišišonaga surveying
phatlalalo diffusion
phatlalatša publish
phatlalatša scatter
phatlalatšo publication
phatlalatšommalaphilisi mottling
phatša splinter
phefo wind
phela live
phenale penalty
phenisilini penicillin
phenkgišana contest
phenkhwini penguin
phensele pencil
phenyo victory
phenšene pension
phephisini pepsin
phepompe malnutrition
phetelo infection
phetetšo infection
phetetšo transmission
phethiole petiole
phethišetšo rollover
phethrole petrol
phetišetšo transmission
phetogo conversion
phetogo reaction
phetogo transformation
phetogophetogo volatility
phetogotšini mutation
phetolelo transition
phetošo amendment
phetošo reform
phiano piano
phihlelelo achievement
phikiniki picnic
philara pillar
philisitswakontši polypill
philtšhate pilchard
phina pin
phineone pinion
phini pin
phiphete pipette
phiramiti pyramid
phiri hyena
phišegelo ambition
phišo heat
phoinsešia poinsettia
phoka dew
phokoletšo rebate
pholimara polymer
pholinthe plinth
pholiphrophaeline polypropylene
pholisakharaete polysaccharide
pholisthareine polystyrene
pholithene polythene
phologa survive
phologo survival
phološo rescue
phonkgelo venture
phonyokgo breakaway
phoofolo animal
phoofotšwanakokoni rodent
phophola caress
phopholego texture
phophorego weathering
phoraema primer
phorofentshe province
phorogohlo sparrow
phoropaeyoyhiki probiotic
phororo rapid
phorothea protea
photefoliyo portfolio
photfolio portfolio
phothaše potash
phothiko portico
